300
21
35
[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20]
[[0,1],
[0,2],
[1,2],
[1,3],
[2,4],
[2,6],
[3,4],
[3,9],
[4,5],
[4,7],
[5,8],
[6,8],
[6,13],
[6,14],
[7,8],
[7,10],
[7,11],
[8,12],
[9,10],
[9,20],
[10,19],
[10,20],
[11,12],
[11,18],
[11,19],
[12,13],
[12,17],
[13,14],
[13,16],
[14,15],
[15,16],
[16,17],
[17,18],
[18,19],
[19,20]]
[[1,6,12.0],
[7,16,8.0],
[19,20,6.0],
[4,20,12.0],
[5,17,12.0],
[6,14,8.0],
[6,15,10.0],
[12,16,2.0],
[5,20,4.0],
[14,16,8.0],
[1,16,10.0],
[9,20,8.0],
[10,19,2.0],
[2,4,6.0],
[4,14,8.0],
[15,19,8.0],
[10,16,16.0],
[5,8,10.0],
[12,21,4.0],
[17,18,4.0],
[10,14,14.0],
[4,8,8.0],
[2,9,12.0],
[3,13,8.0],
[9,17,4.0],
[4,9,16.0],
[3,8,6.0],
[5,17,4.0],
[12,21,14.0],
[13,16,4.0],
[8,15,6.0],
[4,15,12.0],
[17,19,14.0],
[6,17,4.0],
[3,8,14.0],
[6,10,16.0],
[20,21,6.0],
[8,9,6.0],
[13,16,8.0],
[8,19,8.0],
[3,11,14.0],
[5,15,6.0],
[5,20,12.0],
[4,18,12.0],
[5,17,12.0],
[3,19,16.0],
[7,8,16.0],
[3,18,8.0],
[5,13,4.0],
[3,6,10.0],
[13,20,2.0],
[10,15,10.0],
[8,15,2.0],
[4,11,14.0],
[11,19,14.0],
[5,10,2.0],
[8,15,4.0],
[2,7,8.0],
[4,7,16.0],
[12,13,10.0],
[1,19,16.0],
[1,2,10.0],
[13,21,10.0],
[4,11,12.0],
[3,9,12.0],
[1,13,10.0],
[6,10,16.0],
[13,19,4.0],
[2,16,14.0],
[1,5,8.0],
[4,13,12.0],
[14,21,16.0],
[8,15,8.0],
[9,15,4.0],
[5,8,6.0],
[8,9,16.0],
[3,21,2.0],
[10,18,6.0],
[4,6,12.0],
[17,19,16.0],
[1,7,4.0],
[13,16,6.0],
[15,20,16.0],
[7,10,10.0],
[12,16,12.0],
[2,5,2.0],
[15,18,6.0],
[1,15,16.0],
[3,16,12.0],
[5,9,14.0],
[1,6,14.0],
[5,8,14.0],
[17,19,10.0],
[2,7,2.0],
[10,13,2.0],
[4,9,2.0],
[3,10,2.0],
[1,5,2.0],
[4,6,8.0],
[5,19,2.0],
[6,16,6.0],
[11,17,2.0],
[12,14,14.0],
[10,12,8.0],
[14,17,10.0],
[8,20,2.0],
[10,12,12.0],
[7,8,16.0],
[3,19,14.0],
[12,13,2.0],
[7,18,8.0],
[2,3,16.0],
[6,11,6.0],
[5,20,14.0],
[6,12,6.0],
[5,20,4.0],
[18,20,2.0],
[10,11,4.0],
[4,18,14.0],
[3,12,6.0],
[8,12,2.0],
[7,8,10.0],
[14,17,12.0],
[1,12,2.0],
[20,21,2.0],
[4,19,6.0],
[4,13,6.0],
[6,11,10.0],
[12,16,12.0],
[2,18,14.0],
[12,19,12.0],
[8,16,14.0],
[7,16,12.0],
[1,8,12.0],
[3,20,10.0],
[10,21,6.0],
[10,20,14.0],
[3,4,6.0],
[14,15,4.0],
[8,15,6.0],
[3,16,12.0],
[14,21,14.0],
[17,21,14.0],
[4,12,6.0],
[6,13,6.0],
[13,16,4.0],
[8,15,4.0],
[4,6,8.0],
[7,13,2.0],
[3,8,4.0],
[17,18,8.0],
[5,7,2.0],
[8,20,2.0],
[13,20,12.0],
[1,16,6.0],
[3,7,14.0],
[10,18,10.0],
[4,8,4.0],
[10,17,12.0],
[10,18,6.0],
[14,16,8.0],
[4,7,2.0],
[20,21,8.0],
[15,19,10.0],
[4,9,6.0],
[6,8,8.0],
[9,20,14.0],
[6,11,14.0],
[15,19,8.0],
[6,11,6.0],
[4,20,10.0],
[5,8,6.0],
[11,13,2.0],
[7,18,12.0],
[13,16,12.0],
[1,19,16.0],
[13,20,10.0],
[8,21,8.0],
[5,21,14.0],
[2,21,10.0],
[1,19,16.0],
[7,17,14.0],
[1,15,2.0],
[3,16,8.0],
[5,6,2.0],
[12,16,16.0],
[9,16,4.0],
[1,3,8.0],
[5,14,16.0],
[1,2,14.0],
[3,21,4.0],
[16,18,8.0],
[1,2,4.0],
[7,12,6.0],
[1,12,4.0],
[16,17,10.0],
[3,21,16.0],
[12,15,16.0],
[11,16,12.0],
[13,21,16.0],
[2,20,4.0],
[3,7,10.0],
[6,18,6.0],
[12,16,6.0],
[7,21,6.0],
[5,16,10.0],
[12,18,6.0],
[2,9,6.0],
[6,18,16.0],
[11,13,8.0]]
