68
21
35
[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20]
[[0,1],
[0,2],
[1,2],
[1,3],
[2,4],
[2,6],
[3,4],
[3,9],
[4,5],
[4,7],
[5,8],
[6,8],
[6,13],
[6,14],
[7,8],
[7,10],
[7,11],
[8,12],
[9,10],
[9,20],
[10,19],
[10,20],
[11,12],
[11,18],
[11,19],
[12,13],
[12,17],
[13,14],
[13,16],
[14,15],
[15,16],
[16,17],
[17,18],
[18,19],
[19,20]]
[[5,17,6.0],
[5,21,16.0],
[15,18,16.0],
[7,15,14.0],
[8,21,2.0],
[19,20,10.0],
[7,16,12.0],
[2,20,12.0],
[8,18,8.0],
[4,9,2.0],
[4,20,4.0],
[10,20,8.0],
[2,21,10.0],
[2,3,10.0],
[9,21,8.0],
[12,19,8.0],
[2,19,12.0],
[14,21,10.0],
[6,19,16.0],
[4,20,14.0],
[18,21,2.0],
[2,6,2.0],
[9,11,8.0],
[9,17,10.0],
[20,21,4.0],
[9,10,2.0],
[5,21,6.0],
[8,17,6.0],
[14,17,8.0],
[11,21,12.0],
[4,19,2.0],
[5,17,8.0],
[14,16,10.0],
[2,17,4.0],
[18,19,16.0],
[10,21,16.0],
[3,11,2.0],
[10,17,2.0],
[6,20,12.0],
[2,21,16.0],
[3,15,6.0],
[8,20,14.0],
[4,7,6.0],
[8,16,8.0],
[4,21,16.0],
[2,12,2.0],
[10,17,14.0],
[9,12,8.0],
[6,7,16.0],
[8,13,10.0],
[7,17,4.0],
[4,21,6.0],
[1,14,10.0],
[8,16,10.0],
[2,9,16.0],
[17,20,12.0],
[4,7,4.0],
[1,14,6.0],
[1,20,4.0],
[14,15,4.0],
[4,21,8.0],
[1,11,16.0],
[3,14,12.0],
[2,8,12.0],
[2,15,8.0],
[3,11,12.0],
[8,15,8.0],
[14,17,2.0],
[10,20,8.0],
[14,18,6.0],
[7,18,16.0],
[5,21,8.0],
[2,14,4.0],
[11,13,8.0],
[1,12,2.0],
[6,8,8.0],
[14,15,6.0],
[2,12,10.0],
[2,4,2.0],
[14,15,4.0],
[2,18,2.0],
[1,14,16.0],
[16,19,12.0],
[5,6,4.0],
[4,20,8.0],
[4,15,12.0],
[9,13,8.0],
[4,7,6.0],
[7,21,2.0],
[17,18,10.0],
[4,20,8.0],
[5,10,2.0],
[3,16,12.0],
[16,17,4.0],
[5,16,6.0],
[8,17,8.0],
[2,6,12.0],
[3,7,12.0],
[16,17,10.0],
[4,19,8.0],
[8,18,12.0],
[4,12,10.0],
[11,15,16.0],
[15,18,4.0],
[2,17,4.0],
[7,12,10.0],
[5,13,10.0],
[11,19,16.0],
[1,4,8.0],
[14,19,6.0],
[4,11,10.0],
[13,21,6.0]]
