Iteration, Throughput, GoSAgg, GoSSep
0, 110700, 209, 1107
1, 111400, 211, 1114
2, 111900, 212, 1119
3, 112200, 212, 1122
4, 112400, 211, 1124
5, 112500, 212, 1125
6, 112600, 213, 1126
7, 112600, 213, 1126
8, 112800, 214, 1128
9, 112800, 214, 1128
10, 112800, 214, 1128
11, 112800, 214, 1128
12, 112800, 214, 1128
13, 112800, 214, 1128
14, 112800, 214, 1128
15, 112800, 214, 1128
16, 112800, 214, 1128
17, 112800, 214, 1128
18, 112800, 214, 1128
19, 112800, 214, 1128
20, 112800, 214, 1128
21, 112800, 214, 1128
22, 112800, 214, 1128
23, 112800, 214, 1128
24, 112800, 214, 1128
25, 112800, 214, 1128
26, 112800, 214, 1128
27, 112800, 214, 1128
28, 112800, 214, 1128
29, 112800, 214, 1128
30, 112800, 214, 1128
31, 112800, 214, 1128
32, 112800, 214, 1128
33, 112800, 214, 1128
34, 112800, 214, 1128
35, 112800, 214, 1128
36, 113100, 215, 1131
37, 113100, 215, 1131
38, 113100, 215, 1131
39, 113100, 215, 1131
40, 113100, 215, 1131
41, 113100, 215, 1131
42, 113100, 215, 1131
43, 113100, 215, 1131
44, 113400, 216, 1134
45, 113400, 216, 1134
46, 113400, 216, 1134
47, 113400, 216, 1134
48, 113400, 216, 1134
49, 113400, 216, 1134
50, 113400, 216, 1134
51, 113400, 216, 1134
52, 113400, 216, 1134
53, 113500, 216, 1135
54, 113700, 217, 1137
55, 113800, 217, 1138
56, 113800, 217, 1138
57, 113800, 217, 1138
58, 113800, 217, 1138
59, 113800, 217, 1138
60, 113800, 217, 1138
61, 113800, 217, 1138
62, 113800, 217, 1138
63, 113800, 217, 1138
64, 113800, 217, 1138
65, 113800, 217, 1138
66, 113800, 217, 1138
67, 113800, 217, 1138
68, 113800, 217, 1138
69, 113800, 217, 1138
70, 114000, 217, 1140
71, 114100, 218, 1141
72, 114100, 218, 1141
73, 114500, 219, 1145
74, 114500, 219, 1145
75, 114500, 219, 1145
76, 114500, 219, 1145
77, 114500, 219, 1145
78, 114500, 219, 1145
79, 114600, 219, 1146
80, 114600, 219, 1146
81, 114600, 219, 1146
82, 114600, 219, 1146
83, 114600, 219, 1146
84, 114500, 219, 1145
85, 114600, 219, 1146
86, 114500, 219, 1145
87, 114600, 219, 1146
88, 114600, 219, 1146
89, 114600, 219, 1146
90, 114600, 219, 1146
91, 114500, 219, 1145
